alias,technicalName,establishedBy,yearEstablished,linkToVideo,startPos,endPos,difficultyLevel,description,tips
-,Hammock Roll,Samuel Volery,2016,https://www.youtube.com/watch?v=maY2RjAJs1g,BACK,BACK,,Lie on your back and grab the line behind your head with both hands. Hook one foot under the line and roll around the line landing again in Backbounce.,
-,Double Hammock Roll,-,-,-,BACK,BACK,,Two Hammock Rolls in one bounce.,
-,Triple Hammock Roll,Tlaloc Moctezuma-Burns,-,https://youtu.be/Se5XNo0RSP8?t=557,BACK,BACK,,Three Hammock Rolls in one bounce.,
-,Hammock Back Roll,Guillaume Fontaine,2017,https://youtu.be/O_E_2cB0Pcw?t=54,BACK,KOREAN,,Do a Hammock Roll and finish with a Back Roll in the same bounce.,
-,Hammock Roll from Feet,Augustin Moinat,2021,-,STAND,BACK,,Roll down to Backbounce.,
-,Hammock Roll to Feet,Augustin Moinat,2021,-,BACK,STAND,,Hammock Roll going directly to Feet.,
Lasagna Roll,Hammock Roll from Feet to Feet,Augustin Moinat,2021,https://www.instagram.com/p/CRDZ1kGqo4v/,STAND,STAND,,Hammock Roll starting from Feet and going directly back to Feet.,
Spaghetti Roll,Double Hammock Roll from Feet,Augustin Moinat,2021,-,STAND,BACK,,Double Roll down to Backbounce.,
-,Back Roll,-,-,https://www.youtube.com/watch?v=nTzsNzVqJCM,BACK,KOREAN,,From Backbounce pull yourself to the back over your shoulder and land in Korean.,Have the leash on the same side as the shoulder you roll over.
-,Half Back Roll,Guillaume Fontaine,2017,https://youtu.be/O_E_2cB0Pcw?t=4,BACK,SHOULDER,,From Backbounce do a Back Roll but stop in Shoulderstand.,
-,Half Back Roll to Shoulder Roll,Guillaume Fontaine,2017,https://youtu.be/O_E_2cB0Pcw?t=61,BACK,SHOULDER,,Do a Half Back Roll but add a Shoulder Roll to finish the trick.,
Back Magic,Back Roll to Backbounce,-,-,https://www.youtube.com/watch?v=-HEZdGIakVQ,BACK,BACK,,Back Roll directly into Backbounce.,
Dibahia Roll (Backflop),Back Roll from Feet,Matheus Stoco Vidal,-,https://youtu.be/hsALSrUdryU?t=67,STAND,KOREAN,,From standing you jump back and roll over your shoulder to land in Korean.,Have the leash on the same side as the shoulder you roll over.
-,Back Roll to Feet,Guillaume Fontaine,2017,https://youtu.be/Se5XNo0RSP8?t=662,BACK,STAND,,Do a Back Roll and go directly to Feet.,
-,180 Back Roll from Feet,Ian Eisenberg,2021,https://youtu.be/A8O3iGYGPPk?t=135,STAND,KOREAN,,Do a 180 and then go into a Back Roll from Feet.,
-,Back Roll Twist,-,-,-,BACK,KOREAN,,This often happens when you try a normal Back Roll with bad timing.,
Escoba Roll,Back Roll Twist from Feet,David Palomo,2021,https://www.instagram.com/p/CMm5lqolNs4/,STAND,CHEST,,Do a Back Roll from Feet but with a roll around the line as well.,-
-,Backbounce to Chest Roll,-,-,https://youtu.be/ih6Rx-UpBfw?t=478,BACK,CHEST,,From Backbounce move forward like you are going to Chest but add a Chest Roll.,
Backflip,Back Roll from Feet to Feet,Ian Eisenberg,2021,https://www.instagram.com/p/CKmm-_zKl7Z/,STAND,STAND,,The highline freestyle Backflip! As the name implies it is a Back Roll from Feet to Feet.,
-,Backbounce Richy Roll,-,-,https://youtu.be/uuFlRIMmP8M?t=199,BACK,SOFA,,From Backbounce get back up into Korean and in one fluid motion kick one leg over the line to go into a Sofa Roll.,
